train_number,delay_min,cancelled,snapshot_ts
14118,19,False,2026-09-06T18:30:40Z
19603,7,False,2026-09-06T18:30:40Z
12505,208,False,2026-09-06T18:30:40Z
15744,140,False,2026-09-06T18:30:40Z
15707,71,False,2026-09-06T18:30:40Z
15092,24,False,2026-09-06T18:30:40Z
14217,10,False,2026-09-06T18:30:40Z
12801,15,False,2026-09-06T18:30:40Z
04013,110,False,2026-09-06T18:30:40Z
14205,7,False,2026-09-06T18:30:40Z
12391,126,False,2026-09-06T18:30:40Z
04071,76,False,2026-09-06T18:30:40Z
04138,77,False,2026-09-06T18:30:40Z
15075,14,False,2026-09-06T18:30:40Z
31541,15,False,2026-09-06T18:30:40Z
31631,8,False,2026-09-06T18:30:40Z
12951,20,False,2026-09-06T18:30:40Z
12953,10,False,2026-09-06T18:30:40Z
19309,10,False,2026-09-06T18:30:40Z
20946,18,False,2026-09-06T18:30:40Z
11464,23,False,2026-09-06T18:30:40Z
22830,105,False,2026-09-06T18:30:40Z
15726,18,False,2026-09-06T18:30:40Z
12558,61,False,2026-09-06T18:30:40Z
22412,62,False,2026-09-06T18:30:40Z
04014,23,False,2026-09-06T18:30:40Z
13257,,True,2026-09-06T18:30:40Z
04445,12,False,2026-09-06T18:30:40Z
14016,7,False,2026-09-06T18:30:40Z
14206,14,False,2026-09-06T18:30:40Z
15279,172,False,2026-09-06T18:30:40Z
99829,29,False,2026-09-06T18:30:40Z
11139,11,False,2026-09-06T18:30:40Z
12701,16,False,2026-09-06T18:30:40Z
99901,,True,2026-09-06T18:30:40Z
40659,5,False,2026-09-06T18:30:40Z
16179,6,False,2026-09-06T18:30:40Z
14119,39,False,2026-09-06T18:30:40Z
14691,10,False,2026-09-06T18:30:40Z
13041,12,False,2026-09-06T18:30:40Z
22424,232,False,2026-09-06T18:30:40Z
15531,21,False,2026-09-06T18:30:40Z
15127,31,False,2026-09-06T18:30:40Z
15012,13,False,2026-09-06T18:30:40Z
14674,145,False,2026-09-06T18:30:40Z
04213,58,False,2026-09-06T18:30:40Z
14241,30,False,2026-09-06T18:30:40Z
20907,8,False,2026-09-06T18:30:40Z
22663,11,False,2026-09-06T18:30:40Z
19166,34,False,2026-09-06T18:30:40Z
15634,54,False,2026-09-06T18:30:40Z
12958,7,False,2026-09-06T18:30:40Z
05045,5,False,2026-09-06T18:30:40Z
14715,6,False,2026-09-06T18:30:40Z
20482,92,False,2026-09-06T18:30:40Z
12650,55,False,2026-09-06T18:30:40Z
12807,5,False,2026-09-06T18:30:40Z
16031,5,False,2026-09-06T18:30:40Z
64524,263,False,2026-09-06T18:30:40Z
64483,21,False,2026-09-06T18:30:40Z
64481,125,False,2026-09-06T18:30:40Z
12413,9,False,2026-09-06T18:30:40Z
14661,126,False,2026-09-06T18:30:40Z
18309,14,False,2026-09-06T18:30:40Z
14610,10,False,2026-09-06T18:30:40Z
14632,8,False,2026-09-06T18:30:40Z
14628,90,False,2026-09-06T18:30:40Z
15270,112,False,2026-09-06T18:30:40Z
15079,14,False,2026-09-06T18:30:40Z
55094,56,False,2026-09-06T18:30:40Z
09189,184,False,2026-09-06T18:30:40Z
14617,232,False,2026-09-06T18:30:40Z
15131,47,False,2026-09-06T18:30:40Z
22411,127,False,2026-09-06T18:30:40Z
15909,111,False,2026-09-06T18:30:40Z
12203,49,False,2026-09-06T18:30:40Z
55055,220,False,2026-09-06T18:30:40Z
15007,163,False,2026-09-06T18:30:40Z
12566,50,False,2026-09-06T18:30:40Z
15910,134,False,2026-09-06T18:30:40Z
02570,86,False,2026-09-06T18:30:40Z
15113,53,False,2026-09-06T18:30:40Z
11123,58,False,2026-09-06T18:30:40Z
63544,29,False,2026-09-06T18:30:40Z
63527,25,False,2026-09-06T18:30:40Z
13514,67,False,2026-09-06T18:30:40Z
13287,98,False,2026-09-06T18:30:40Z
13128,37,False,2026-09-06T18:30:40Z
12352,34,False,2026-09-06T18:30:40Z
13006,41,False,2026-09-06T18:30:40Z
22164,41,False,2026-09-06T18:30:40Z
12192,5,False,2026-09-06T18:30:40Z
22646,22,False,2026-09-06T18:30:40Z
18637,50,False,2026-09-06T18:30:40Z
12657,13,False,2026-09-06T18:30:40Z
13351,46,False,2026-09-06T18:30:40Z
12602,20,False,2026-09-06T18:30:40Z
12416,14,False,2026-09-06T18:30:40Z
01944,13,False,2026-09-06T18:30:40Z
51974,88,False,2026-09-06T18:30:40Z
12722,15,False,2026-09-06T18:30:40Z
64910,180,False,2026-09-06T18:30:40Z
22181,12,False,2026-09-06T18:30:40Z
12919,69,False,2026-09-06T18:30:40Z
09309,83,False,2026-09-06T18:30:40Z
67202,40,False,2026-09-06T18:30:40Z
