number,name,type,type_canonical,zone,from_station_code,from_station_name,to_station_code,to_station_name,distance,duration_h,duration_m,arrival,departure,return_train,sleeper,third_ac,second_ac,first_ac,first_class,chair_car
18410,Sri Jagannath Express,Exp,Express,ECoR,PURI,PURI,HWH,HOWRAH JN,502,9,20,08:10:00,22:50:00,18409,1,1,1,0,0,0
18417,Jharsuguda-Bhubaneswar Rajya Rani Express,Exp,Express,ECoR,JSG,JHARSUGUDA JN,BBS,BHUBANESWAR,341,8,30,07:35:00,23:05:00,18418,1,1,1,0,0,0
18418,Bhubaneswar-Jharsuguda Rajya Rani Express,Exp,Express,ECoR,BBS,BHUBANESWAR,JSG,JHARSUGUDA JN,341,7,25,06:30:00,23:05:00,18417,1,1,1,0,0,0
18447,Hirakhand Express,Exp,Express,ECoR,BBS,BHUBANESWAR,JDB,JAGDALPUR,785,17,5,12:40:00,19:35:00,18448,1,1,1,0,0,0
18447-Slip,Hirakhand Express Slip,Exp,Express,?,BBS,BHUBANESWAR,KRDL,Kirandul,935,25,45,21:20:00,19:35:00,,1,0,0,0,0,0
18448,Hirakhand Express,Exp,Express,ECoR,JDB,JAGDALPUR,BBS,BHUBANESWAR,785,16,55,08:25:00,15:30:00,18447,1,1,1,0,0,0
18449,Baidyanathdham Express,Exp,Express,ECoR,PURI,PURI,PNBE,PATNA JN,937,19,55,10:00:00,14:05:00,18450,1,1,1,0,0,0
18450,Baidyanathdham Express,Exp,Express,ECoR,PNBE,PATNA JN,PURI,PURI,928,18,25,03:20:00,08:55:00,18449,1,1,1,0,0,0
18452,PURI - HATIA Tapaswini Exp,Exp,Express,ECoR,PURI,PURI,HTE,HATIA,691,15,0,11:40:00,20:40:00,18451,1,1,1,1,0,0
18463,Prasanti Express,Exp,Express,ECoR,BBS,BHUBANESWAR,SBC,BANGALORE CITY JN,1546,30,20,12:05:00,05:45:00,18464,1,1,1,0,0,0
18464,Prasanti Express,Exp,Express,ECoR,SBC,BANGALORE CITY JN,BBS,BHUBANESWAR,1546,30,45,20:45:00,14:00:00,18463,1,1,1,0,0,0
