station,interactions,mean_risk,high_risk_interactions,mean_source_delay,mean_gap,warning_rate,bottleneck_score
BRYA,36,0.49754800933843424,26,59.52777777777778,16.166666666666668,0.7222222222222222,0.5320265525190804
KUR,238,0.49941909213606767,181,48.23529411764706,14.281512605042018,0.7605042016806722,0.531815274265353
CLT,102,0.5006123919485805,86,25.392156862745097,15.666666666666666,0.8431372549019608,0.5316502324703204
PAU,44,0.4983058718147797,33,51.31818181818182,15.818181818181818,0.75,0.5315558238471905
MFP,159,0.5010888485262863,125,39.9937106918239,16.18238993710692,0.7861635220125787,0.5311291751530732
IGP,67,0.5006924473320962,55,30.52238805970149,17.432835820895523,0.8208955223880597,0.5307562540510359
NU,70,0.49830323497319245,50,59.3,14.614285714285714,0.7142857142857143,0.5297684279691786
DDU,477,0.5025758859367877,375,37.501048218029354,11.970649895178196,0.7861635220125787,0.5290844808003882
BSL,478,0.499216558256322,357,48.34309623430963,12.878661087866108,0.7468619246861925,0.5277419082502488
KTE,156,0.4991561147725964,117,47.32692307692308,13.685897435897436,0.75,0.5275164500897915
YJUD,68,0.4995974393420384,56,27.220588235294116,15.411764705882353,0.8235294117647058,0.5273056284748092
CHE,53,0.49983241989747407,40,44.943396226415096,15.264150943396226,0.7547169811320755,0.5266035595751775
KYJ,117,0.4932070701274147,97,27.641025641025642,15.47008547008547,0.8290598290598291,0.5262398569819084
ON,108,0.5006145158092022,88,28.10185185185185,14.574074074074074,0.8148148148148148,0.5261855411095062
FTP,56,0.49965794200861396,45,30.875,15.464285714285714,0.8035714285714286,0.5254361937591807
PPI,123,0.4996213126921036,97,34.56910569105691,15.325203252032521,0.7886178861788617,0.5250639256572684
MUR,74,0.4996538836076622,58,35.82432432432432,15.337837837837839,0.7837837837837838,0.5250340280847429
BOE,42,0.5007619052670323,33,34.38095238095238,16.30952380952381,0.7857142857142857,0.5245526794898068
KGG,69,0.4996892384007135,53,39.072463768115945,15.768115942028986,0.7681159420289855,0.5239846185519114
RMGM,51,0.4969268569581312,44,14.411764705882353,17.980392156862745,0.8627450980392157,0.5234075000674325
JMU,32,0.5012911898664716,27,17.375,17.90625,0.84375,0.5232057179757414
SV,62,0.5005955650731473,48,36.306451612903224,16.580645161290324,0.7741935483870968,0.5231670904675833
BBK,146,0.49960519620457533,112,38.62328767123287,13.815068493150685,0.7671232876712328,0.5231423670336719
VZM,155,0.4990131800480663,116,43.87096774193548,15.483870967741936,0.7483870967741936,0.5230953899085681
HPU,81,0.4924968917331735,65,32.27160493827161,15.308641975308642,0.8024691358024691,0.5230871787083025
TIR,92,0.4995408193238864,73,31.52173913043478,14.76086956521739,0.7934782608695652,0.5230731039523819
BGS,78,0.49903393836535387,60,38.12820512820513,14.91025641025641,0.7692307692307693,0.5229351989767457
AWY,157,0.49528931657435304,131,22.248407643312103,14.095541401273886,0.8343949044585988,0.5228494916418838
SKM,36,0.4836378524518738,29,34.888888888888886,16.166666666666668,0.8055555555555556,0.5225111956765957
MABD,59,0.4985960934865008,43,48.101694915254235,15.033898305084746,0.7288135593220338,0.5217471424092724
JRC,113,0.49862825185414583,87,36.50442477876106,15.424778761061948,0.7699115044247787,0.5211202671636352
BE,236,0.502427286278243,175,41.78389830508475,13.377118644067796,0.7415254237288136,0.520409411538621
KPN,49,0.49953722664574257,39,27.653061224489797,16.857142857142858,0.7959183673469388,0.5194759593485299
BAM,111,0.4945708768709293,74,64.53153153153153,15.297297297297296,0.6666666666666666,0.5194683596116744
WR,60,0.49899182704052686,45,39.733333333333334,15.866666666666667,0.75,0.5189403579647078
DOS,100,0.49792771599576485,74,42.84,13.0,0.74,0.5188833210851308
CNB,804,0.5033393700738731,604,37.28358208955224,9.975124378109452,0.7512437810945274,0.518747049890521
KMZ,30,0.5000085591942156,23,34.56666666666667,16.933333333333334,0.7666666666666667,0.5186694548394643
SLO,169,0.4977559585352751,120,50.34319526627219,15.597633136094675,0.7100591715976331,0.5182080297024892
RJY,244,0.49901572026489616,180,42.35655737704918,13.807377049180328,0.7377049180327869,0.5181980350691848
MMR,298,0.4992040723041213,216,45.39261744966443,14.516778523489933,0.7248322147651006,0.5178264404581729
VAK,73,0.5001344580394516,61,14.972602739726028,19.34246575342466,0.8356164383561644,0.5175000383115035
TCR,235,0.4976366768216268,189,24.404255319148938,14.221276595744682,0.8042553191489362,0.5173927588972715
BYT,57,0.49606227310163087,42,43.05263157894737,15.280701754385966,0.7368421052631579,0.5172410741464825
MBNR,37,0.5001498680341838,29,28.2972972972973,17.0,0.7837837837837838,0.5168625269791816
ALJN,205,0.4948162830171708,160,31.380487804878047,15.512195121951219,0.7804878048780488,0.5166556997559799
