service_date,station,source_train,target_train,source_arr_delay,target_arr_delay,gap_minutes,source_delay_class,risk_score,risk_band
2024-09-22,MOZ,12904,18238,4.0,6.0,23.0,LOW,0.5050974108143548,ELEVATED
2024-09-09,PHR,14653,14682,3.0,0.0,1.0,LOW,0.4757233009977858,MODERATE
2024-09-22,SBC,20651,12640,2.0,0.0,9.0,LOW,0.523026671509493,ELEVATED
2024-09-28,TIG,20829,18301,16.0,2.0,8.0,HIGH,0.5053435336150908,ELEVATED
2024-09-15,PPT,13024,13404,23.0,3.0,23.0,HIGH,0.505422611561944,ELEVATED
2024-09-06,RIG,18030,12859,150.0,72.0,5.0,SEVERE,0.5254914942784967,ELEVATED
2024-09-24,DPR,13010,15119,34.0,66.0,4.0,HIGH,0.5046861078258712,ELEVATED
2024-09-29,RK,19566,22458,0.0,4.0,21.0,LOW,0.5075865684223952,ELEVATED
2024-09-07,DVD,12861,8557,0.0,0.0,26.0,LOW,0.4755057872760171,MODERATE
2024-09-25,KMT,12670,20805,115.0,0.0,15.0,SEVERE,0.47079828335817275,MODERATE
2024-09-30,GDR,17210,12734,27.0,23.0,7.0,HIGH,0.5122444388108001,ELEVATED
2024-09-12,ASN,13418,13151,0.0,16.0,10.0,LOW,0.5130060625810718,ELEVATED
2024-09-27,CNB,12368,2570,20.0,38.0,8.0,HIGH,0.5135215967759053,ELEVATED
2024-09-21,MRB,17329,17416,5.0,25.0,26.0,LOW,0.5062462138601256,ELEVATED
2024-09-03,LDH,14503,12414,0.0,0.0,3.0,LOW,0.4757233009977858,MODERATE
2024-09-11,AWR,15014,12216,16.0,0.0,15.0,HIGH,0.46522823489580617,LOW
2024-09-05,NAD,19167,12474,13.0,11.0,8.0,MODERATE,0.5035821192261577,ELEVATED
2024-09-15,AGC,12616,12724,318.0,350.0,7.0,SEVERE,0.5208736496123111,ELEVATED
2024-09-16,ATP,16592,11311,4.0,0.0,6.0,LOW,0.47576070317675856,MODERATE
2024-09-01,PNC,13415,13483,0.0,25.0,1.0,LOW,0.5069291426331757,ELEVATED
2024-09-10,RJT,12267,22945,6.0,0.0,15.0,MODERATE,0.47020332421621686,MODERATE
2024-09-25,BSB,22345,22178,19.0,2.0,23.0,HIGH,0.5067791532418133,ELEVATED
2024-09-16,KUN,12058,14508,13.0,14.0,28.0,MODERATE,0.5035131239024631,ELEVATED
2024-09-21,CNB,12310,12565,38.0,0.0,11.0,HIGH,0.4704137628665998,MODERATE
2024-09-24,PUNE,11407,11039,2.0,4.0,17.0,LOW,0.5219689833903949,ELEVATED
2024-09-16,ST,19015,9622,0.0,21.0,6.0,LOW,0.5069291426331757,ELEVATED
2024-09-25,NGP,12434,12261,0.0,68.0,13.0,LOW,0.5298647760892792,ELEVATED
2024-09-04,BTE,12964,12477,30.0,124.0,24.0,HIGH,0.5080659424843185,ELEVATED
2024-09-07,NLR,12759,12840,11.0,9.0,13.0,MODERATE,0.5035821192261577,ELEVATED
2024-09-26,ODM,12828,22330,3.0,0.0,20.0,LOW,0.47618984268760034,MODERATE
2024-09-22,PLP,15017,11055,0.0,4.0,26.0,LOW,0.5076656463692485,ELEVATED
2024-09-05,VGLJ,12808,18238,0.0,0.0,30.0,LOW,0.49581907509236733,MODERATE
2024-09-07,TNA,12128,12111,11.0,12.0,10.0,MODERATE,0.510074853554955,ELEVATED
2024-09-05,GZB,15060,14208,320.0,2.0,22.0,SEVERE,0.5333339948968755,ELEVATED
2024-09-03,SCM,7469,8551,0.0,0.0,4.0,LOW,0.480650916056096,MODERATE
2024-09-18,CLT,16603,16307,36.0,34.0,20.0,HIGH,0.504833143849737,ELEVATED
2024-09-30,CTC,7030,12816,0.0,60.0,12.0,LOW,0.5122031663977221,ELEVATED
2024-09-16,KNW,15065,12137,0.0,48.0,17.0,LOW,0.5069291426331757,ELEVATED
2024-09-27,VSKP,18048,12664,32.0,15.0,8.0,HIGH,0.5046861078258712,ELEVATED
2024-09-16,AKT,18477,18251,430.0,50.0,24.0,SEVERE,0.5147497121968957,ELEVATED
2024-09-29,BST,14674,9043,0.0,190.0,6.0,LOW,0.5111536182700973,ELEVATED
2024-09-27,RJY,12863,12737,282.0,12.0,20.0,SEVERE,0.5153139756489112,ELEVATED
2024-09-02,DOS,18635,2398,21.0,72.0,3.0,HIGH,0.5046861078258712,ELEVATED
2024-09-12,NGP,12809,12129,2.0,104.0,17.0,LOW,0.5259926074262528,ELEVATED
2024-09-17,ST,22961,20484,0.0,0.0,19.0,LOW,0.47618984268760034,MODERATE
